iter	Passed	Remaining
761	7033	2196
762	7042	2187
763	7051	2178
764	7061	2169
765	7070	2159
766	7078	2150
767	7086	2140
768	7095	2131
769	7105	2122
770	7112	2112
771	7121	2103
772	7130	2094
773	7141	2085
774	7150	2075
775	7159	2066
776	7169	2057
777	7179	2048
778	7187	2039
779	7197	2029
780	7208	2021
781	7219	2012
782	7229	2003
783	7239	1994
784	7248	1985
785	7257	1976
786	7267	1966
787	7275	1957
788	7285	1948
789	7294	1939
790	7304	1930
791	7313	1920
792	7322	1911
793	7329	1901
794	7339	1892
795	7346	1882
796	7353	1873
797	7363	1863
798	7371	1854
799	7381	1845
800	7389	1835
801	7400	1827
802	7408	1817
803	7418	1808
804	7426	1798
805	7434	1789
806	7444	1780
807	7453	1771
808	7463	1762
809	7473	1752
810	7483	1744
811	7494	1735
812	7503	1725
813	7511	1716
814	7520	1707
815	7530	1697
816	7540	1688
817	7549	1679
818	7560	1670
819	7568	1661
820	7578	1652
821	7586	1642
822	7594	1633
823	7602	1623
824	7611	1614
825	7619	1605
826	7628	1595
827	7637	1586
828	7646	1577
829	7655	1567
830	7663	1558
831	7673	1549
832	7681	1539
833	7690	1530
834	7699	1521
835	7708	1512
836	7716	1502
837	7725	1493
838	7734	1484
839	7742	1474
840	7750	1465
841	7759	1456
842	7769	1447
843	7779	1437
844	7787	1428
845	7797	1419
846	7805	1410
847	7814	1400
848	7821	1391
849	7830	1381
850	7838	1372
851	7847	1363
852	7857	1354
853	7866	1344
854	7874	1335
855	7883	1326
856	7892	1316
857	7900	1307
858	7908	1298
859	7919	1289
860	7929	1280
861	7936	1270
862	7945	1261
863	7955	1252
864	7963	1242
865	7976	1234
866	7983	1224
867	7992	1215
868	8001	1206
869	8011	1197
870	8019	1187
871	8026	1178
872	8036	1169
873	8044	1159
874	8053	1150
875	8061	1141
876	8070	1131
877	8077	1122
878	8086	1113
879	8094	1103
880	8102	1094
881	8111	1085
882	8121	1076
883	8130	1066
884	8141	1057
885	8150	1048
886	8158	1039
887	8166	1030
888	8176	1020
889	8186	1011
890	8196	1002
891	8206	993
892	8215	984
893	8225	975
894	8232	965
895	8242	956
896	8251	947
897	8261	938
898	8270	929
899	8282	920
900	8291	911
901	8301	901
902	8310	892
903	8319	883
904	8329	874
905	8338	865
906	8348	855
907	8357	846
908	8366	837
909	8375	828
910	8384	819
911	8393	809
912	8403	800
913	8413	791
914	8420	782
915	8430	773
916	8439	763
917	8448	754
918	8458	745
919	8467	736
920	8475	727
921	8484	717
922	8491	708
923	8500	699
924	8509	689
925	8518	680
926	8527	671
927	8536	662
928	8545	653
929	8553	643
930	8563	634
931	8573	625
932	8582	616
933	8591	607
934	8601	597
935	8611	588
936	8619	579
937	8628	570
938	8638	561
939	8647	551
940	8656	542
941	8666	533
942	8675	524
943	8683	515
944	8692	505
945	8702	496
946	8712	487
947	8721	478
948	8729	469
949	8738	459
950	8747	450
951	8756	441
952	8765	432
953	8773	423
954	8783	413
955	8792	404
956	8803	395
957	8812	386
958	8822	377
959	8830	367
960	8838	358
961	8847	349
962	8857	340
963	8865	331
964	8874	321
965	8882	312
966	8891	303
967	8900	294
968	8910	285
969	8918	275
970	8928	266
971	8938	257
972	8946	248
973	8956	239
974	8966	229
975	8975	220
976	8983	211
977	8992	202
978	9000	193
979	9009	183
980	9019	174
981	9027	165
982	9036	156
983	9044	147
984	9052	137
985	9061	128
986	9069	119
987	9076	110
988	9085	101
989	9093	91
990	9102	82
991	9112	73
992	9121	64
993	9128	55
994	9136	45
995	9144	36
996	9153	27
997	9161	18
998	9171	9
999	9180	0
